,Company Name,Industry,Symbol,Series,ISIN Code,company_brief
12,Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,"Abbott India, a pharmaceutical company, diversifies into nutrition and diagnostics, holding a strong market presence. Invest for debt-free status, robust returns, and established brands. However, high valuation, slower sales growth, and declining market share present investment concerns."
13,Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025,"Action Construction Equipment Ltd. (ACE) manufactures cranes, material handling, road, and agriculture equipment, holding market leadership in mobile and tower cranes in India. Strong financials and India's infrastructure boom attract investment, but cyclical demand and intense competition present potential risks."
14,Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,"Adani Energy Solutions, India's largest private power transmission, distribution, and smart metering firm, offers infrastructure growth. High debt, regulatory dependency, and governance issues present investment risks."
15,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,"Adani Enterprises, Adani Group's flagship, incubates diversified infrastructure (airports, roads), mining, and green energy businesses. Investors eye India's growth, but face high debt, volatility, and governance concerns."
16,Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,"Adani Green Energy operates large-scale solar, wind, and hybrid projects, leading India's renewable sector with ambitious growth targets. Investment drivers include industry growth and stable PPAs, but high debt and premium valuations pose risks."
17,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,"Adani Ports, India's largest private port and logistics operator, drives significant cargo movement. Investors are drawn to its market dominance and growth potential, yet high debt and Adani Group's corporate governance concerns pose investment risks."
18,Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,"Adani Power, India's largest private thermal producer also expanding into renewables, is vital for energy demand. Invest for growth potential and market dominance; however, high debt, expensive valuation, and governance concerns pose significant risks."
19,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,"Adani Total Gas Ltd. (ATGL), a joint venture between Adani Group and TotalEnergies, is a prominent city gas distribution (CGD) company in India, supplying PNG to residential, commercial, industrial segments and CNG to automotive users, also diversifying into EV charging and compressed biogas. It is a leading player in India's growing natural gas sector, benefiting from a push for clean energy and infrastructure expansion. Investment appeal lies in strong growth prospects, parental backing, and expanding network, but concerns exist regarding high valuations, regulatory risks, and Adani Group's debt."
20,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,"Aditya Birla Capital Ltd. (ABCAPITAL) is a prominent Indian financial services firm offering diversified solutions including loans, investments, and insurance, holding significant market presence. It may appeal to investors due to robust profit growth, strategic merger plans, and digital expansion. However, the stock currently trades at a high book value, has a low dividend payout, and faces risks associated with its retail unsecured loan portfolio, being considered somewhat overvalued."
21,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,"ABFRL, a top Indian fashion retailer with diverse brands like Louis Philippe and Pantaloons, offers growth via portfolio expansion and demerger. However, sustained losses, high debt, and weak historical returns pose significant investment risks."
22,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ,INE14LE01019,"Aditya Birla Lifestyle Brands (ABLBL), a demerged Aditya Birla Group entity, retails premium Western wear brands like Louis Philippe and Van Heusen, commanding a significant market presence. Investment merits include a strong brand portfolio and improving profitability; however, high valuations and intense sector competition pose risks."
23,Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016,"Aditya Birla Real Estate Ltd. (ABREL), a NIFTY 500 company, focuses on real estate development via Birla Estates, complemented by textile and pulp businesses. Its strong Group lineage and real estate growth potential attract investors, though recent losses and low returns present investment risks."
24,Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024,"Aditya Birla Sun Life AMC, a leading Indian asset manager, offers diverse mutual funds, PMS, and AIFs. Strengths include strong brand, wide reach, and good ROE. Risks are market volatility, intense competition, moderate growth, and passive fund rise."
25,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025,"Aegis Logistics leads India's oil, gas, and chemical logistics via terminals and LPG distribution. Invest for strong financials, growth, and expansion; however, risks include volatile crude prices, low-margin gas business, policy changes, and high valuation."
26,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK,EQ,INE0INX01018,"Aegis Vopak is India's leading third-party operator for LPG and liquid storage across major ports. Invest for India's energy demand, promoter strength, and expansion; avoid due to high debt, geographic concentration, and high valuation."
27,Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011,"Afcons, a Shapoorji Pallonji Group EPC leader, delivers complex marine, transport, and urban infrastructure projects globally. Invest for its strong execution and diversified order book, but note risks like high government dependence, capital intensity, and past weak sales growth."
28,Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,"Affle 3i Ltd. is a global mobile ad tech firm utilizing AI for targeted advertising and fraud reduction, crucial in digital marketing. Invest for digital ad growth, unique CPCU model; avoid due to high valuation and volatility."
29,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,"Ajanta Pharma, a specialty pharmaceutical firm, develops branded and generic medicines for diverse global markets. Strong R&D, consistent growth, and market expansion are positives. However, intense competition, regulatory hurdles, and premium valuation are investment risks."
30,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,EQ,INE09XN01023,"Akums Drugs, India's largest pharmaceutical CDMO and API manufacturer, boasts strong profit growth and global expansion into regulated markets like Europe, signalling future potential. However, investors face risks from weak sales growth, recent declining quarterly PAT, rising interest costs, and CDMO margin pressures."
31,Akzo Nobel India Ltd.,Consumer Durables,AKZOINDIA,EQ,INE133A01011,"Akzo Nobel India (Dulux) is a leading paint and coatings producer. Invest for market leadership, robust financials, and dividends. However, it faces overvaluation, moderate sales growth, and intense competition."
32,Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018,"Alembic Pharmaceuticals manufactures global formulations and APIs, significant for R&D and integrated operations. Invest for R&D-led growth and global reach; avoid due to past weak sales, low ROE, and valuation concerns."
33,Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,"Alkem Laboratories, a top 5 Indian multinational pharma, manufactures generics and formulations globally. Invest for its strong market position and EPS growth; however, note declining promoter stake and slower sales growth."
34,Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039,"Alkyl Amines, a leading Indian producer of aliphatic and specialty amines for pharmaceuticals and agrochemicals, boasts strong financials and R&D for growth. However, commodity price volatility and intense Chinese competition pose significant investment risks."
35,Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029,"Alok Industries, a Reliance-owned integrated textile manufacturer of cotton and polyester products, offers potential through its strong backing and sectoral tailwinds. However, historical losses, negative book value, and high volatility pose significant investment risks."
36,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032,"Amara Raja Energy & Mobility manufactures lead-acid batteries for automotive/industrial uses while aggressively pivoting to new energy solutions like Li-ion and EV chargers. It offers growth via EV investments but faces intense competition, long gestation periods, and margin pressures from this transition."
37,Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,"Amber Enterprises India Ltd. is a leading OEM/ODM for Room Air Conditioners and components in India, significantly contributing to the HVAC and electronics sectors. The company's diversified portfolio, including consumer durables, electronics (EMS), and railway subsystems, makes it a key beneficiary of increasing AC penetration and government initiatives like 'Make in India'. Investors might consider its market leadership, strong revenue growth, and strategic backward integration. However, investment risks include high dependence on seasonal RAC demand, intense competition, capital-intensive operations, high valuation, and increasing debt."
38,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,"Ambuja Cements, a major Indian cement manufacturer, benefits from robust infrastructure and housing growth. Investment appeal lies in its strong market presence and operational efficiency; however, it faces cyclical demand, intense competition, and some recent declining profitability."
39,Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026,"Anand Rathi Wealth manages HNI/UHNI assets, a top non-bank mutual fund distributor, noted for strong profit growth and high ROE. Investment appeals include growing AUM, while concerns are high valuation and declining promoter holding."
40,Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024,"Anant Raj Ltd. is a diversified NCR real estate developer spanning residential, commercial, hospitality, and data center projects. While boasting a strong legacy and consistent profit growth, high valuation ratios like Price-to-Book and Price-to-Earnings, alongside moderate Return on Equity, pose potential investment concerns."
41,Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,"Angel One offers digital-first broking, advisory, and wealth management, prominent in India with a vast client base. Invest for technological edge and market growth; avoid due to intense competition, regulatory risks, and market volatility impacting revenue."
42,Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015,"Apar Industries manufactures conductors, specialty oils, and cables, holding global leadership in conductors and transformer oils. Invest for strong growth, diversified portfolio, and infrastructure demand. Risks include raw material volatility, competition, and premium valuation."
43,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,"Apollo Hospitals, India's leading integrated healthcare provider encompassing hospitals, pharmacies, and digital health, offers growth opportunities from expanding healthcare demand and a strong brand. However, it faces intense competition, regulatory risks, and significant capital expenditure for expansion."
44,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,"Apollo Tyres manufactures diverse automotive tyres, a market leader in India with global presence. Invest for auto sector growth and brand strength. Avoid due to raw material volatility, competition, debt concerns, and inconsistent sales growth."
45,Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,"Aptus provides affordable housing finance to self-employed, low/middle-income segments, vital for financial inclusion. Strengths include strong financials and asset quality, but risks stem from the borrower profile and promoter stake reduction, despite high market growth potential."
46,Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,"Asahi India Glass (AIS) is India's leading integrated glass solutions provider, dominant in auto (72-77% market share in passenger cars) and architectural segments. Investors may consider its market leadership and strong cash position, but should note its high valuation, declining sales growth, and increasing debt."
47,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,"Ashok Leyland Ltd. (ASHOKLEY) is India's second-largest commercial vehicle manufacturer and a global leader in buses, producing trucks, buses, defence vehicles, and engines. Investors might consider its strong market position, expansion into electric vehicles, and potential benefit from infrastructure growth. However, the cyclical nature of the automotive industry, intense competition, and economic slowdowns pose risks.Ashok Leyland Ltd. (ASHOKLEY) is India's second-largest commercial vehicle manufacturer, a global leader in buses, producing trucks, buses, defence vehicles, and engines. Its strong market position, foray into electric vehicles, and potential gains from infrastructure development are reasons to invest. Conversely, the cyclical automotive industry, intense competition, and economic downturns present investment risks."
48,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,"Asian Paints, India's leading paint and home décor company, holds significant market share. Invest for its strong brand, extensive network, and market dominance. However, high valuation, intense competition, and recent financial metric declines present investment risks."
49,Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,"Aster DM Healthcare, a major Indian integrated healthcare provider with hospitals, clinics, and pharmacies, offers growth post-GCC exit and potential merger. Risks include corruption allegations and high promoter pledge."
50,AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020,"AstraZeneca Pharma India manufactures and markets drugs in oncology, cardiovascular, and respiratory. A strong, debt-free market player with good growth and high promoter holding, its current high valuation suggests investor caution."
51,Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,"Astral Ltd. manufactures building materials like pipes, adhesives, and paints, holding market leadership in CPVC pipes. Invest for diversified growth, strong brand, and sound financials. Risks include raw material volatility, intense competition, and high valuation."
52,Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,EQ,INE0LEZ01016,"Ather Energy manufactures smart electric scooters and charging infrastructure, a key Indian EV player. Invest for EV growth potential, but be aware of its current losses and fierce competition."
53,Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010,"Atul Ltd. is a diversified Indian chemical manufacturer with global reach. Investment appeal stems from its strong market position, debt reduction, and product diversity. Concerns include high valuation, modest sales growth, and lower ROE."
54,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,"Aurobindo Pharma manufactures global APIs and generic drugs, significant for its international market reach. Investment drivers include R&D and diversified portfolio; however, historical inconsistent growth, regulatory scrutiny, and modest long-term returns are concerns."
55,Authum Investment & Infrastructure Ltd.,Financial Services,AIIL,EQ,INE206F01022,"Authum Investment & Infrastructure Ltd. (AIIL) is an NBFC focusing on diversified investments and lending, notably acquiring Reliance Finance. It offers growth through high ROE and investment gains, leveraging equity for credit. Risks include fierce competition, regulatory shifts, market volatility, declining revenue/profit, and promoter stake reduction."
56,Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,"Avenue Supermarts (DMART) operates a leading Indian hypermarket chain, offering everyday products at low prices. Its efficient EDLP model and owned stores foster strong growth and customer loyalty, solidifying its market leadership. However, high valuation and fierce competition pose investment risks."
57,Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,"Axis Bank, India's third-largest private sector bank, offers diverse financial services, holding significant Nifty 50 market presence. Investment appeal lies in strong retail growth and digital focus; however, intense competition and asset quality risks pose drawbacks."
58,BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013,"BASF India, a diversified chemical manufacturer for agriculture, automotive, and consumer sectors, is a market leader backed by its global parent. Investment appeal includes strong historical returns and perceived undervaluation, but raw material volatility, crop sector risks, and recent profit declines pose concerns."
59,BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016,"BEML manufactures heavy equipment for defence, mining, and rail/metro, vital for India's infrastructure. Its strong order book, profit growth, and low debt attract investment, but poor sales growth, high valuation, low ROE, and strategic disinvestment plans present risks."
60,BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027,"BLS International, a leading global listed player in visa/consular and citizen services outsourcing, benefits from growing global mobility and an asset-light model. Investment risks include past allegations of malpractices and a two-year Indian MEA tender ban."
61,BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,"BSE Ltd., India's oldest stock exchange, facilitates diverse financial instrument trading, holding significant global market position. Strong fundamentals and India's market growth offer investment appeal, but high valuation and potential regulatory shifts affecting derivatives revenue are key risks."
62,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,"Bajaj Auto, a leading Indian auto manufacturer, is the world's largest three-wheeler and significant two-wheeler/EV maker. Invest for diversified portfolio, strong exports, and EV growth; consider competition and export volatility risks."
63,Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,"Bajaj Finance, a dominant NBFC, excels in diversified consumer and SME lending. Invest for its high growth, market leadership, and strong financials. However, its premium valuation and regulatory risks are significant deterrents."
64,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,"Bajaj Finserv is a financial holding company with diverse interests in lending, insurance, and asset management, significant for its Bajaj Finance subsidiary. Invest for diversified growth and strong market position, but be wary of high valuations and potential customer service issues."
65,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,"Bajaj Holdings is an investment company, holding strategic stakes in key Bajaj Group entities like Bajaj Auto and Bajaj Finserv. It offers diversified exposure and consistent dividends but often trades at a discount to its underlying asset value, with a sometimes overvalued valuation and lower ROE compared to peers."
66,Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014,"Bajaj Housing Finance, a leading HFC subsidiary of Bajaj Finance, provides home and property loans, benefiting from India's housing growth. It boasts strong financials and market position. However, high valuation and past stock underperformance present risks."
67,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,"Balkrishna Industries Ltd. is a global leader in off-highway tires for agriculture and mining. Invest for niche market leadership, strong exports, and growth vision. Avoid due to raw material volatility, geopolitical risks, tariffs, and diversification challenges impacting margins."
68,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028,"Balrampur Chini is a major Indian sugar producer, diversifying into ethanol, power, and PLA. Investment pros include revenue diversification and ethanol growth, but risks involve commodity volatility, intense competition, regulatory changes, profitability fluctuations, and current overvaluation."
69,Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,"Bandhan Bank, a microfinance-turned-universal bank, serves underbanked India. It offers growth potential in diversified lending but faces asset quality concerns, lower ROE, and recent leadership uncertainty."
70,Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,"Bank of Baroda, a major Indian public sector bank, offers diverse financial services. Investors are drawn by its government backing, market presence, and improving asset quality, but risks include competition, operational challenges, and contingent liabilities."
71,Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,"Bank of India is a public sector bank providing diverse financial services globally. Its government backing and recent profit growth attract, but high NPAs, intense competition, and operational inefficiencies present investment risks."
72,Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014,"Bank of Maharashtra, a public sector bank, focuses on retail, agriculture, and MSME lending. It exhibits improving fundamentals, low NPAs, and strong profit growth, offering investment appeal. However, as a PSU bank, it faces competitive pressures and inherent risks."
73,Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028,"Bata India, a leading footwear retailer, is significant for its trusted brand, extensive retail network, and affordable quality offerings. Invest for brand loyalty, vast reach, and digital focus; consider risks like intense competition, limited premium segment presence, and slower revenue growth."
74,Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022,"Bayer Cropscience specializes in agrochemicals, seeds, and digital farming, crucial for Indian agriculture. Invest for market leadership and innovation; avoid due to profitability pressures, rising costs, and regulatory risks."
75,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,"Berger Paints India, a major player (2nd in India, 18% market share) in decorative and industrial coatings, offers investment potential through strong market presence and innovation. Risks include high P/E ratios and stiff competition from market leader Asian Paints."
76,Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,"Bharat Dynamics Ltd (BDL) produces guided missiles and defense equipment for India's armed forces, vital for self-reliance. Its strong order book and government support are positives, but single-customer dependence, slow sales growth, and high valuation pose risks."
77,Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,"Bharat Electronics Ltd (BEL), a Navratna PSU, develops defence electronics like radars and weapon systems, also serving civilian markets. Its robust order book and government backing offer investment appeal. However, high government dependence, potential project delays, and a premium valuation present risks."
78,Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,"Bharat Forge, a global leader in metal forging and India's top auto component exporter, provides diverse components across automotive, defense, and industrial sectors. Its diversified model and EV focus attract investment, but high valuation, modest ROE, and recent revenue dip are concerns."
79,Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,"Bharat Heavy Electricals Ltd (BHEL) is India's leading heavy electrical equipment manufacturer for power, industry, and infrastructure, holding significant market share. Invest for strong order books and diversification into renewables; avoid due to thermal power reliance, intense competition, and project execution risks."
80,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,"Bharat Petroleum, a major state-owned Indian oil refiner and marketer, holds market significance providing essential energy. Invest for government backing and infrastructure; avoid due to crude price volatility, policy risks, and energy transition challenges."
81,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,"Bharti Airtel, a leading Indian and African telecom giant, offers diverse services. A Nifty 50 firm, it presents growth potential, yet faces high capital intensity, stiff competition, and regulatory risks."
82,Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021,"Bharti Hexacom, an Airtel subsidiary, provides telecom services in Rajasthan/Northeast. Market strength and ARPU growth attract investors, but high debt, intense competition, and regulatory/tech risks are deterrents."
83,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023,"Bikaji Foods, a leading Indian ethnic snacks and sweets manufacturer, boasts strong market share in Bikaneri Bhujia and diverse offerings, providing growth through expansion. However, investment risks include raw material volatility, intense competition, geographic concentration, and recent profit declines."
84,Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,"Biocon, an Indian biopharmaceutical leader, develops biosimilars and biologics for chronic diseases globally. Investment drivers include its robust R&D pipeline. However, profitability challenges and regulatory risks are concerns."
85,Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035,"Birlasoft provides IT and digital transformation services across BFSI, Manufacturing, and Life Sciences. It offers a debt-free status and healthy dividends, but faces intense competition, modest sales growth, and recent stock underperformance."
86,Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017,"Blue Dart Express is India's premier express air and integrated logistics provider, leveraging DHL's global network. Its market leadership and technology offer investment appeal. However, high valuation, declining profits, and rising competition present notable risks."
87,Blue Jet Healthcare Ltd.,Healthcare,BLUEJET,EQ,INE0KBH01020,"Blue Jet Healthcare manufactures pharma intermediates, APIs, and contrast media, significant for niche market leadership. Invest for strong financials and global pharma demand. Avoid due to recent revenue decline and valuation concerns."
88,Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,"Blue Star Ltd. is a leading Indian air conditioning, commercial refrigeration, and MEP company, offering significant market presence. Investment pros include exposure to India's growing cooling market and a stable hybrid business model; however, consider its high valuation and competitive landscape."
89,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025,"Bombay Burmah Trading Corporation, a Wadia Group conglomerate, diversifies across plantations, auto components, and holds a major Britannia stake. Invest for stability and Britannia exposure; risks include standalone business underperformance and capital allocation issues."
90,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,"Bosch Ltd., a leading Indian auto-component and technology supplier across mobility, industrial, consumer goods, and energy, offers diversified growth, R&D in electrification, and strong market presence. However, it faces global supply chain risks, high valuation concerns, and evolving market shifts."
91,Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045,"Brainbees Solutions (FirstCry) is India's largest omnichannel retailer for mother, baby, and kid products, leveraging a vast brand portfolio. While it benefits from a growing market and loyal customer base, the company has consistently been loss-making due to aggressive expansion and intense competition, posing investment risks."
92,Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019,"Brigade Enterprises develops residential, commercial, hospitality, and retail properties, holding a significant South Indian market presence. Invest for its diversified pipeline and growth prospects, but consider risks like high debt, valuation concerns, and Bengaluru-centric operations."
93,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,"Britannia Industries, a leading Indian food company, excels in biscuits, bread, and dairy, commanding significant market share due to strong brand and distribution. Invest for diversification and stable performance; avoid due to biscuit dependency, intense competition, and volatile raw material costs."
94,C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023,"C.E. Info Systems Ltd. (MapmyIndia) is India's leading provider of digital maps, geospatial software, and location-based IoT solutions to B2B/B2B2C clients. It boasts market leadership and growth potential, yet faces high valuation and governance risks."
95,CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022,"CCL Products manufactures and exports instant coffee globally, significant as a top private label producer. Invest for global reach, efficiency, and expansion; avoid for raw material volatility and intense competition."
96,CESC Ltd.,Power,CESC,EQ,INE486A01021,"CESC, an integrated power utility, generates and distributes electricity, primarily in West Bengal and other states. Its stable dividends and renewable push offer appeal, but high debt and regulatory risks exist."
97,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,"CG Power, a leader in electrical equipment, industrial, and semiconductor solutions, offers growth from infrastructure focus and strong financials. Risks include high valuations and historical governance concerns."
98,CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025,"CRISIL, India's leading credit rating agency, provides ratings, research, and advisory, influencing market transparency. Invest for its dominance and strong ROE; reconsider due to high valuation, modest growth, and recent underperformance."
99,Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022,"Campus Activewear, India's largest sports and athleisure footwear brand, offers affordable, stylish products. Invest for its dominant market share, growth prospects in a rising segment, and strong brand. However, high valuation, recent revenue dip, and intense competition pose risks."
100,Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020,"Can Fin Homes Ltd., a Canara Bank-promoted HFC, specializes in housing finance with strong asset quality. Invest for consistent growth and affordable housing focus; risks include competition and interest rate sensitivity."
101,Canara Bank,Financial Services,CANBK,EQ,INE476A01022,"Canara Bank, a major Indian public sector bank, offers diverse financial services including retail, corporate, and digital banking, with a significant national presence. Its government ownership (62.93% as of Sep 2025) provides stability, making it attractive for investors seeking safety and exposure to India's growing banking sector, especially with improving asset quality and strong profitability metrics. However, as a PSU bank, it faces challenges like potential government interference and competition from private banks, which may impact agility and profitability compared to private peers."
